date	title	role	description
2020-2024	Labex EFL	Collaborator	"Grammaire expérimentale dans une perspective cross-linguistique, Dialogue, coordinated by Jonathan Ginzburg"
2019-2020	Programme Hubert Curien Parrot	Principal Investigator	"Programme n° 42231NG, with Anu Treikelder (U. of Tartu), 6500€, Surprise Questions from a Comparative Perspective"
2019-2020	Programme Hubert Curien Procope	Principal Investigator	"Programme n°42412PC, with Andreas Trotzke (U. of Konstanz), 7000€, Surprise Questions from a Comparative Perspective"
2016-2019	Labex EFL	Collaborator	"Typologie et dynamique des systèmes linguistiques, Grammar and Discourse : Modelizing Interfaces, A typological, historical and quantitative approach to the interrelation between tense, aspect and modality, coordinated by Patrick Caudal"
2018	Surprise-induced questions	Project bearer	"Prestige Marie Curie grant n°2017-3-0004 (14 500€). In collaboration with the Department of Linguistics of the University of Colorado, Boulder."
2016	"Tense, Aspect, Modality - Evidentiality"	Project bearer and coordinator	"Funded by Université Sorbonne Paris Cité, including the long-term invitation of Dalila Ayoun (U. Tucson, Arizona) (66 111€)"
2012-2015	Emphiline Project	Linguistics Team Coordinator	"Funded by the National Research Agency : La surprise au sein de la spontanéité des émotions: un vecteur de cognition élargie, ANR EMCO (11-EMCO-005-02, 240 000€, PI : Natalie Depraz)"
2012-2014	EIOMSIT Programme	Collaborator	"Eléments initiaux, ordre des mots, structures informationnelle et textuelle, UMR LATTICE, Ecole Normale Supérieure /Paris 3/CNRS, coordinated by Sophie Prévost and Shirley Carter-Thomas"
2006-2009	Vers une typologie des modalités	Collaborator	"UMR LACITO-CNRS, coordinated by Zlatka Guentchéva & Jon Landaburu"
2007-2008	Programme Hubert Curien RILA	Project bearer and coordinator	"Projet n° 14981QH, 6 000€, funded by the Ministry of Foreign Affairs, cooperation with Elena Meteva (University of Sofia)  “A cross linguistic and contrastive analysis of journalistic discourse in Bulgarian, Polish, French and English”"
2007-2008	Programme ECO-NET	Project bearer and coordinator	"Project n° 16255PC, 28 000 €, funded by the Ministry of Foreign Affairs, cooperation with Alicja Kacprzak, University of Warsaw, Elena Meteva, University of Sofia, “A contrastive analysis of media discourse in French, English, Polish and Bulgarian”."